"taxonID","weight"
"CHBA",40
"DIME",48
"DIME",45
"DIME",46
"CHBA",36
"NEAL",130
"DIME",45
"DIME",47
"NEAL",65
"CHPE",17
"DIME",41
"DIME",48
"CHIN",18
"NEAL",100
"DIME",41
"CHBA",16
"ONTO",27
"DIME",45
"DIME",49
"CHBA",27
"ONTO",27
"PEME",25
"DIME",50
"CHBA",41
"DIME",45
"DIME",39
"DIME",41
"DIME",44
"CHBA",29
"NEAL",215
"DIME",45
"CHPE",19
"NEAL",110
"CHPE",19
"CHPE",15
"NEAL",190
"DIME",41
"NEAL",150
"CHPE",17
"DIME",42
"DIME",39
"NEAL",120
"NEAL",130
"PEER",19
"DIME",40
"DIME",50
"DIME",42
"DIME",38
"DIME",39
"NEAL",90
"DIME",42
"DIME",45
"DIME",45
"DIME",43
"NEAL",180
"DIME",43
"DIME",49
"DIME",44
"CHPE",15
"DIME",41
"DIME",44
"CHBA",26
"CHBA",34
"PEBO",22
"DIME",43
"DIME",47
"DIME",43
"CHPE",17
"DIME",42
"DIME",37
"NEAL",175
"CHPE",17
"DIME",40
"CHPE",15
"NEAL",65
"CHBA",29
"DIME",44
"DIME",47
"CHBA",27
"DIME",38
"DIME",38
"DIME",37
"CHPE",16
"CHBA",41
"NEAL",175
"CHPE",21
"CHPE",11
"CHBA",27
"DIME",45
"CHBA",19
"DIME",45
"DIME",43
"CHPE",44
"CHPE",23
"DIME",42
"DIME",44
"DIME",45
"DIME",41
"CHBA",38
"DIME",39
"NEAL",145
"CHBA",34
"DIME",42
"CHBA",27
"DIME",41
"ONTO",26
"CHPE",15
"DIME",40
"CHBA",25
"DIME",39
"DIME",37
"CHPE",18
"CHPE",17
"DIME",43
"DIME",37
"DIME",48
"DIME",41
"DIME",46
"NEAL",184
"NEAL",85
"DIME",47
"CHBA",40
"CHPE",15
"CHPE",18
"DIME",40
"DIME",43
"DIME",43
"DIME",47
"DIME",43
"DIME",49
"PEFL",11
"DIME",47
"CHPE",14
"PEER",24
"CHPE",17
"CHBA",33
"DIME",46
"DIME",44
"DIME",43
"ONTO",33
"PEME",24
"CHBA",35
"NEAL",150
"DIME",48
"NEAL",185
"DIME",39
"NEAL",185
"PEER",28
"CHPE",14
"CHPE",17
"DIME",26
"PEER",26
"DIME",42
"PEER",26
"CHBA",29
"REFU",16
"DIME",39
"NEAL",205
"CHBA",30
"CHPE",13
"DIME",43
"DIME",37
"PEME",23
"CHPE",15
"CHPE",17
"PEER",25
"DIME",53
"CHPE",16
"PEER",31
"DIME",50
"DIME",52
"PELE",16
"DIME",47
"DIME",43
"DIME",46
"CHBA",28
"DIME",41
"REME",10
"DIME",27
"NEAL",195
"DIME",40
"DIME",47
"ONTO",18
"DIME",46
"DIME",43
"DIME",46
"DIME",52
"ONTO",27
"DIME",22
"DIME",26
"CHPE",14
"PEER",24
"CHBA",27
"REFU",12
"CHBA",30
"CHPE",17
"NEAL",179
"CHBA",30
"CHBA",35
"PEER",23
"NEAL",190
"CHPE",14
"PEER",28
"DIME",48
"ONTO",23
"CHBA",40
"DIME",44
"DIME",26
"CHPE",19
"DIME",43
"CHPE",20
"NEAL",183
"DIME",40
"DIME",45
"CHPE",21
"NEAL",124
"CHPE",15
"NEAL",207
"NEAL",139
"DIME",50
"DIME",47
"PEER",28
"CHPE",22
"DIME",28
"DIME",46
"DIME",46
"DIME",46
"CHPE",17
"DIME",47
"DIME",44
"DIME",41
"DIME",41
"DIME",48
"CHPE",15
"DIME",42
"CHPE",27
"NEAL",115
"CHIN",14
"NEAL",115
"CHPE",18
"CHIN",15
"DIME",42
"CHPE",20
"DIME",46
"CHPE",21
"DIME",45
"ONLE",21
"DIME",42
"DIME",43
"DIME",36
"CHPE",16
"CHPE",14
"NEAL",235
"DIME",44
"CHPE",14
"NEAL",145
"CHPE",14
"NEAL",135
"DIME",44
"DIME",39
"CHPE",13
"CHBA",39
"DIME",43
"DIME",38
"NEAL",143
"CHPE",16
"DIME",44
"CHPE",27
"DIME",45
"DIME",32
"CHBA",35
"DIME",46
"DISP",93
"DIME",48
"DIME",43
"DIME",37
"CHBA",30
"DIME",47
"DIME",28
"CHPE",21
"DIME",45
"ONTO",24
"DIME",44
"DIME",43
"DIME",47
"DIME",50
"PEFL",11
"DIME",46
"DIME",28
"DIME",37
"DIME",39
"NEAL",103
"DIME",47
"CHPE",16
"DIME",43
"CHPE",12
"DIME",41
"CHBA",29
"CHPE",13
"DIME",31
"NEAL",114
"DIME",46
"DIME",42
"CHBA",25
"NEAL",215
"CHPE",14
"CHPE",17
"DIME",42
"NEAL",134
"CHPE",14
"DIME",43
"NEAL",154
"ONLE",33
"NEAL",144
"NEAL",145
"CHPE",17
"DIME",42
"DIME",39
"CHBA",21
"DIME",32
"CHPE",23
"CHIN",13
"CHBA",20
"CHBA",31
"DIME",35
"CHPE",21
"ONTO",28
"DIME",49
"CHBA",30
"CHPE",19
"CHPE",20
"DIME",42
"CHPE",18
"DIME",32
"DIME",42
"CHPE",15
"DIME",40
"CHPE",14
"CHBA",29
"DIME",32
"NEAL",123
"CHPE",24
"PEME",11
"CHBA",35
"DIME",42
"DIME",44
"CHIN",19
"DIME",46
"DIME",30
"CHPE",15
"PEAM",17
"CHPE",15
"DIME",35
"CHPE",14
"DIME",35
"DIME",49
"CHPE",17
"CHPE",11
"DIME",47
"DIME",49
"CHPE",16
"CHPE",19
"CHPE",21
"PEAM",17
"DIME",46
"CHPE",17
"DIME",42
"CHPE",18
"DIME",39
"CHPE",14
"DIME",46
"DIME",41
"DIME",21
"DIME",47
"DIME",39
"CHPE",20
"PEER",27
"CHPE",22
"PEME",16
"CHBA",24
"CHPE",14
"DIME",50
"CHPE",19
"DISP",94
"NEAL",169
"DIME",27
"NEAL",123
"ONTO",27
"DIME",40
"DIME",45
"CHPE",17
"DIME",33
"CHPE",24
"DIME",44
"PEAM",20
"DIME",41
"DIME",42
"DIME",41
"CHBA",30
"DIME",48
"DIME",48
"CHPE",15
"CHPE",20
"CHBA",23
"PEME",13
"DIME",47
"NEAL",194
"CHPE",16
"CHPE",16
"DIME",49
"DIME",42
"CHPE",17
"ONLE",24
"DIME",42
"NEAL",214
"CHPE",16
"NEAL",134
"DIME",43
"CHPE",16
"CHPE",21
"CHPE",19
"NEAL",178
"CHPE",15
"PEER",27
"PEFL",11
"ONTO",19
"DIME",36
"ONTO",28
"DIME",48
"ONTO",22
"DIME",42
"DIME",44
"DIME",45
"DIME",32
"NEAL",181
"ONTO",27
"NEAL",94
"CHPE",15
"DIME",46
"DIME",38
"CHPE",23
"CHPE",17
"PEAM",13
"CHPE",18
"CHPE",19
"CHIN",15
"CHIN",13
"PEAM",17
"DIME",36
"CHPE",18
"PEAM",11
"CHPE",25
"CHPE",26
"CHPE",21
"DIME",45
"CHIN",16
"DIME",40
"PEFL",12
"DIME",30
"CHBA",32
"CHPE",13
"PEME",25
"CHBA",35
"PEFL",7
"CHIN",14
"CHPE",17
"CHIN",14
"CHIN",17
"NEAL",114
"CHPE",17
"CHIN",14
"DIME",33
"DIME",33
"CHIN",17
"DIME",37
"CHIN",14
"CHPE",22
"CHPE",14
"DIME",49
"REFU",17
"PEME",27
"CHPE",14
"CHBA",38
"NEAL",183
"CHPE",20
"CHBA",31
"CHPE",22
"DIME",46
"PEME",25
"CHPE",21
"CHBA",37
"CHPE",18
"REFU",12
"DIME",44
"ONTO",26
"CHPE",17
"CHBA",26
"ONTO",35
"CHBA",21
"REFU",13
"CHPE",13
"CHBA",28
"NEAL",200
"DIME",39
"DIME",46
"ONTO",28
"DIME",51
"DIME",44
"DIME",47
"CHPE",23
"CHPE",21
"DIME",48
"DIME",29
"ONTO",30
"DIME",41
"CHPE",19
"DIME",33
"DIME",43
"DIME",47
"DIME",50
"CHBA",38
"DIME",41
"CHBA",32
"DIME",45
"DIME",48
"CHPE",22
"DIME",31
"DIME",41
"DIME",53
"CHPE",14
"CHPE",20
"CHBA",35
"CHPE",19
"CHPE",17
"CHBA",26
"DIME",42
"DIME",47
"CHBA",40
"CHBA",31
"DIME",41
"PEME",26
"CHPE",20
"CHBA",31
"CHBA",21
"DIME",54
"CHBA",24
"CHBA",29
"CHBA",37
"CHPE",21
"CHBA",38
"DIME",42
"DIME",35
"DIME",49
"CHBA",32
"CHBA",33
"DIME",47
"CHIN",13
"DIME",48
"CHBA",24
"CHBA",27
"DIME",48
"CHPE",23
"CHPE",21
"CHBA",29
"CHPE",15
"CHBA",30
"DIME",29
"CHPE",22
"CHBA",36
"CHPE",20
"CHPE",24
"CHBA",29
"CHBA",33
"PEME",26
"NEAL",181
"CHBA",26
"CHPE",14
"CHBA",35
"DIME",47
"CHBA",30
"CHPE",22
"DIME",38
"DIME",34
"DIME",28
"PEFL",13
"REFU",16
"CHPE",19
"CHBA",39
"CHBA",26
"CHPE",15
"REFU",13
"ONTO",30
"NEAL",164
"CHBA",27
"CHBA",31
"DIME",36
"CHBA",35
"DIME",49
"CHBA",30
"CHPE",18
"ONTO",21
"DIME",48
"DIME",47
"DIME",49
"CHBA",37
"ONTO",13
"CHBA",39
"CHPE",18
"DIME",33
"CHPE",20
"DIME",47
"DIME",47
"CHBA",30
"CHBA",40
"NEAL",153
"CHPE",15
"DIME",38
"DIME",43
"CHBA",27
"ONTO",28
"DIME",42
"DIME",40
"ONTO",25
"NEAL",152
"DIME",41
"DIME",42
"DISP",91
"CHBA",27
"DIME",43
"DIME",36
"DIME",42
"NEAL",197
"NEAL",183
"DIME",44
"CHBA",31
"DIME",36
"DIME",33
"DIME",43
"CHBA",19
"PEAM",18
"DIME",45
"ONTO",23
"CHBA",20
"PEAM",13
"CHPE",19
"CHPE",19
"CHPE",20
"DIME",46
"DIME",22
"NEAL",193
"CHPE",18
"NEAL",126
"DIME",43
"CHPE",20
"NEAL",92
"CHPE",19
"ONTO",27
"CHPE",17
"DIME",47
"CHPE",19
"DIME",46
"DIME",44
"CHBA",27
"NEAL",73
"DIME",42
"DIME",48
"NEAL",163
"CHBA",28
"CHPE",12
"DIME",47
"CHPE",17
"DIME",33
"ONTO",26
"DIME",46
"ONTO",23
"DIME",40
"CHPE",19
"DIME",48
"NEAL",173
"DIME",32
"CHPE",14
"ONTO",26
"DIME",54
"DIME",38
"DIME",46
"DIME",48
"DIME",47
"ONTO",24
"DIME",50
"CHPE",20
"CHBA",25
"DIME",44
"CHPE",16
"DIME",49
"PEAM",11
"CHPE",21
"DIME",43
"CHPE",12
"CHIN",12
"CHPE",21
"CHPE",19
"CHPE",18
"CHPE",13
"CHPE",19
"DIME",46
"DIME",40
"CHPE",18
"CHPE",19
"DIME",37
"CHPE",14
"CHPE",17
"CHPE",18
"CHPE",19
"DIME",32
"CHPE",14
"CHBA",25
"DIME",24
"DIME",48
"DIME",46
"CHPE",23
"ONTO",25
"CHPE",16
"NEAL",21
"CHIN",10
"CHPE",19
"CHPE",17
"CHPE",18
"CHIN",12
"DIME",47
"NEAL",150
"DIME",36
"CHPE",21
"CHPE",21
"DIME",37
"DIME",34
"DIME",41
"CHPE",19
"DIME",46
"DIME",51
"CHPE",14
"CHPE",18
"CHPE",23
"CHPE",20
"CHBA",24
"CHPE",19
"CHPE",21
"CHPE",21
"CHPE",18
"CHPE",16
"CHPE",20
"CHPE",18
"ONTO",29
"ONTO",23
"CHPE",18
"DIME",39
"DIME",32
"DIME",40
"DIME",44
"NEAL",229
"ONTO",28
"CHBA",13
"DIME",44
"CHBA",24
"DIME",46
"DIME",24
"DIME",41
"ONTO",28
"NEAL",172
"NEAL",160
"DIME",43
"CHBA",27
"CHPE",12
"DIME",33
"ONTO",29
"DIME",45
"CHPE",18
"NEAL",110
"CHBA",41
"DIME",45
"DIME",41
"CHBA",26
"DIME",48
"DIME",42
"DIME",45
"NEAL",123
"CHBA",37
"NEAL",161
"CHBA",28
"DIME",38
"NEAL",143
"DIME",32
"NEAL",151
"DIME",42
"CHIN",12
"DIME",42
"DIME",45
"CHPE",17
"DIME",39
"NEAL",151
"CHBA",29
"DIME",44
"CHPE",20
"DIME",41
"DIME",39
"DIME",42
"DIME",33
"CHPE",13
"DIME",40
"CHBA",35
"DIME",52
"CHBA",27
"ONTO",19
"CHPE",20
"DIME",46
"DIME",47
"CHPE",17
"CHPE",17
"DIME",44
"DIME",41
"PEFL",12
"ONTO",24
"DIME",52
"DIME",39
"CHPE",17
"NEAL",185
"NEAL",127
"NEAL",167
"CHBA",31
"DIME",46
"NEAL",175
"DIME",46
"CHBA",31
"CHBA",32
"NEAL",158
"DIME",42
"CHBA",28
"CHBA",23
"NEAL",187
"NEAL",162
"DIME",42
"ONTO",30
"CHPE",18
"DIME",42
"DIME",44
"DIME",34
"DIME",46
"NEAL",153
"NEAL",226
"CHBA",24
"DIME",50
"CHBA",35
"CHBA",25
"DIME",45
"CHBA",40
"REFU",16
"CHBA",29
"DIME",40
"ONTO",30
"CHPE",19
"DIME",46
"CHPE",18
"PEER",28
"DIME",31
"CHPE",17
"CHBA",29
"CHBA",30
"CHBA",24
"CHPE",23
"DIME",46
"PEER",18
"ONTO",23
"CHPE",20
"DIME",42
"ONTO",30
"CHBA",28
"CHBA",24
"CHBA",30
"CHBA",30
"REFU",16
"CHBA",23
"PEER",29
"CHPE",22
"PEER",31
"REFU",12
"CHPE",18
"DIME",49
"PEER",27
"DIME",54
"CHBA",29
"ONTO",31
"DIME",42
"REFU",18
"DIME",52
"CHPE",18
"DIME",51
"REFU",16
"CHPE",23
"CHPE",24
"CHBA",24
"DIME",42
"DIME",42
"CHPE",19
"DIME",53
"DIME",42
"DIME",38
"DIME",50
"CHPE",19
"DIME",50
"DIME",46
"CHPE",19
"ONTO",26
"DIME",49
"DIME",49
"CHPE",25
"DIME",29
"DIME",43
"CHBA",30
"DIME",47
"CHBA",29
"CHPE",26
"ONTO",28
"DIME",46
"REFU",11
"NEAL",133
"PEER",16
"CHBA",26
"PEER",26
"CHPE",20
"CHPE",17
"DIME",29
"DIME",38
"CHPE",19
"CHBA",28
"CHPE",24
"CHPE",22
"ONTO",23
"NEAL",227
"DIME",46
"DIME",51
"NEAL",223
"DIME",50
"CHBA",33
"DIME",49
"NEAL",158
"NEAL",221
"CHPE",18
"NEAL",213
"DIME",40
"NEAL",118
"ONTO",26
"ONTO",29
"CHPE",24
"DIME",55
"DIME",43
"CHBA",30
"DIME",47
"DIME",44
"DIME",50
"NEAL",193
"CHPE",24
"CHPE",19
"DIME",58
"CHPE",17
"CHBA",32
"DIME",44
"CHBA",30
"DIME",52
"DIME",48
"DIME",48
"NEAL",182
"CHPE",18
"DIME",44
"CHBA",29
"DIME",45
"CHBA",34
"CHBA",26
"CHPE",19
"DIME",43
"NEAL",113
"DIME",42
"CHPE",16
"DIME",50
"CHBA",30
"CHPE",17
"CHBA",29
"CHPE",18
"CHBA",28
"CHPE",17
"NEAL",48
"NEAL",181
"CHBA",37
"DIME",46
"DIME",44
"DIME",47
"DIME",49
"NEAL",198
"NEAL",210
"CHBA",26
"NEAL",194
"CHBA",33
"CHBA",28
"DIME",45
"ONTO",24
"CHPE",28
"CHPE",17
"DIME",52
"NEAL",122
"ONTO",27
"CHBA",45
"NEAL",145
"DIME",51
"CHBA",27
"NEAL",174
"CHBA",34
"CHBA",30
"ONTO",26
"CHBA",31
"DIME",44
"CHPE",30
"DIME",37
"CHPE",17
"ONTO",18
"DIME",52
"CHPE",14
"CHPE",19
"NEAL",211
"DIME",47
"NEAL",201
"DIME",46
"CHBA",33
"DIME",42
"NEAL",192
"DIME",45
"CHBA",41
"CHBA",30
"DIME",41
"CHPE",27
"DIME",49
"DIME",41
"DISP",109
"ONTO",15
"DIME",49
"ONTO",27
"CHPE",17
"ONTO",31
"NEAL",133
"CHBA",25
"CHPE",14
"DIME",42
"CHPE",17
"DIME",36
"CHPE",19
"DIME",51
"DIME",49
"DIME",52
"CHBA",42
"DIME",40
"DIME",48
"CHBA",29
"CHPE",16
"NEAL",221
"ONTO",33
"CHPE",19
"DIME",43
"DIME",42
"DIME",53
"DIME",51
"DIME",43
"DIME",54
"DIME",43
"DIME",39
"CHPE",15
"DIME",41
"CHPE",16
"CHPE",16
"CHPE",20
"DIME",45
"CHPE",16
"CHBA",36
"DIME",37
"CHBA",35
"CHPE",16
"CHPE",18
"CHPE",19
"CHBA",27
"CHBA",26
"CHBA",26
"NEAL",195
"CHBA",33
"CHBA",27
"DIME",45
"CHBA",26
"CHBA",33
"CHPE",17
"CHPE",19
"DIME",46
"DIME",40
"DIME",54
"CHPE",18
"NEAL",133
"CHPE",20
"DIME",45
"CHPE",14
"DIME",49
"CHPE",17
"CHPE",15
"DIME",51
"CHPE",18
"CHPE",15
"CHPE",14
"CHPE",15
"NEAL",283
"CHBA",29
"CHBA",40
"DIME",40
"ONTO",23
"DIME",52
"CHBA",30
"NEAL",223
"CHPE",19
"CHBA",34
"CHPE",17
"CHPE",18
"CHPE",12
"DIME",50
"CHBA",32
"CHBA",29
"CHBA",32
"CHPE",17
"DIME",47
"NEAL",218
"DIME",44
"CHPE",19
"CHPE",16
"NEAL",183
"CHPE",15
"CHPE",15
"DIME",40
"CHPE",15
"CHPE",17
"CHPE",17
"CHPE",21
"CHPE",16
"CHBA",32
"CHPE",19
"CHPE",16
"CHPE",13
"CHPE",13
"CHPE",17
"CHPE",14
"CHPE",17
"CHBA",29
"CHPE",16
"CHPE",17
"CHPE",14
"CHBA",40
"NEAL",231
"CHPE",16
"CHBA",26
"CHBA",26
"CHBA",24
"CHPE",17
"CHBA",26
"CHBA",24
"CHPE",15
"DIME",41
"CHBA",32
"CHBA",39
"CHBA",30
"CHBA",24
"NEAL",220
"CHPE",17
"CHBA",27
"NEAL",169
"ONTO",25
"CHPE",19
"CHPE",15
"CHBA",32
"CHPE",18
"CHPE",17
"NEAL",47
"CHPE",16
"CHPE",17
"CHPE",19
"CHPE",15
"CHPE",17
"NEAL",212
"NEAL",190
"PEER",26
"CHBA",25
"CHBA",30
"CHPE",14
"CHBA",33
"CHBA",31
"CHPE",14
"DIME",69
"CHPE",18
"DIME",46
"CHBA",26
"DIME",45
"CHBA",29
"CHBA",27
"NEAL",225
"CHBA",30
"CHPE",16
"NEAL",160
"DIME",46
"CHBA",30
"CHPE",16
"DIME",44
"CHBA",28
"CHBA",28
"CHBA",35
"CHPE",20
"CHPE",21
"CHBA",25
"DIME",45
"CHBA",34
"DIME",47
"DIME",49
"DIME",55
"CHBA",25
"CHBA",38
"CHPE",17
"CHBA",25
"CHBA",31
"CHBA",30
"DIME",47
"CHBA",26
"CHBA",25
"CHBA",25
"ONTO",24
"CHPE",21
"DIME",51
"CHBA",29
"CHPE",19
"CHBA",31
"DIME",45
"PEER",30
"CHBA",25
"DIME",38
"CHPE",14
"CHBA",25
"CHBA",31
"DIME",44
"NEAL",211
"PEER",24
"CHPE",24
"DIME",44
"CHBA",27
"CHBA",139
"NEAL",139
"SIAR",236
"CHBA",30
"CHBA",24
"PEER",25
"CHPE",27
"NEAL",169
"NEAL",204
"DIME",44
"ONTO",25
"NEAL",213
"ONTO",21
"CHPE",18
"NEAL",220
"DIME",52
"DIME",49
"DIME",50
"CHBA",25
"ONTO",25
"DIME",50
"DIME",50
"ONTO",19
"CHBA",34
"CHBA",47
"NEAL",132
"ONTO",25
"DIME",48
"NEAL",171
"DIME",36
"NEAL",224
"ONTO",21
"NEAL",153
"DIME",46
"NEAL",217
"DIME",43
"CHBA",37
"CHBA",25
"ONTO",18
"CHPE",14
"ONTO",34
"ONTO",20
"CHPE",13
"ONTO",26
"CHBA",32
"DIME",45
"CHPE",18
"CHBA",30
"CHBA",33
"NEAL",78
"DIME",42
"ONTO",20
"CHBA",32
"CHBA",28
"ONTO",22
"DIME",48
"DIME",40
"DIME",44
"NEAL",210
"CHBA",27
"CHBA",32
"REFU",12
"ONTO",19
"NEAL",128
"ONTO",17
"CHBA",30
"CHBA",40
"DIME",45
"REFU",13
"CHPE",16
"DIME",43
"DIME",47
"DIME",46
"ONTO",23
"CHBA",36
"CHBA",28
"CHBA",24
"DISP",114
"DIME",48
"NEAL",203
"DIME",42
"ONTO",24
"CHBA",40
"DIME",44
"ONTO",27
"NEAL",193
"REFU",12
"DIME",48
"ONTO",22
"DIME",41
"DIME",31
"REFU",12
"ONTO",18
"CHBA",28
"DIME",44
"DIME",40
"DIME",43
"DIME",44
"DIME",42
"DIME",39
"DIME",35
"DIME",40
"DIME",39
"DIME",46
"ONTO",23
"CHBA",38
"DIME",50
"CHBA",37
"CHBA",32
"ONTO",25
"DIME",34
"NEAL",142
"DIME",47
"CHBA",25
"DIME",54
"DIME",45
"DIME",46
"DIME",38
"NEAL",171
"DIME",45
"CHPE",18
"DIME",46
"DIME",37
"DIME",42
"CHPE",17
"CHPE",16
"DIME",42
"DIME",44
"DIME",43
"CHBA",30
"CHBA",18
"DIME",36
"CHPE",18
"CHBA",44
"DIME",50
"CHPE",15
"ONTO",25
"ONTO",22
"DIME",42
"DIME",42
"CHPE",18
"CHBA",35
"CHPE",15
"DIME",40
"CHPE",16
"NEAL",294
"CHPE",23
"CHPE",16
"CHPE",21
"CHPE",15
"DIME",46
"CHPE",19
"CHPE",18
"ONTO",23
"CHPE",18
"DIME",52
"CHBA",33
"CHPE",20
"CHPE",19
"DIME",49
"DIME",40
"CHPE",18
"DIME",46
"DIME",50
"CHPE",19
"CHPE",17
"NEAL",221
"CHPE",16
"CHPE",17
"DISP",138
"CHPE",15
"CHPE",18
"DIME",44
"DIME",52
"DIME",50
"CHPE",19
"CHPE",18
"DIME",45
"REFU",12
"REFU",11
"ONTO",24
"DIME",35
"NEAL",112
"CHBA",47
"CHBA",28
"NEAL",185
"DIME",39
"DIME",42
"NEAL",200
"PEAM",11
"DIME",30
"NEAL",230
"NEAL",190
"REFU",11
"ONTO",25
"CHPE",17
"CHPE",17
"DIME",38
"NEAL",172
"CHBA",40
"NEAL",173
"CHPE",12
"NEAL",201
"DIME",43
"DIME",38
"CHPE",20
"DIME",38
"ONTO",25
"CHBA",35
"ONTO",36
"DIME",38
"NEAL",120
"DIME",42
"NEAL",110
"DIME",39
"DIME",48
"NEAL",160
"CHPE",16
"DIME",34
"REFU",15
"CHPE",22
"CHPE",13
"PEER",26
"DIME",41
"DIME",43
"DIME",37
"DIME",43
"CHPE",18
"CHBA",39
"NEAL",170
"DIME",36
"NEAL",190
"NEAL",235
"CHPE",20
"CHPE",28
"NEAL",74
"ONTO",26
"DIME",41
"DIME",33
"CHPE",19
"PEER",26
"ONTO",27
"DIME",37
"DIME",31
"CHBA",32
"REFU",12
"NEAL",60
"NEAL",235
"DIME",36
"NEAL",160
"NEAL",105
"ONTO",25
"DIME",34
"NEAL",195
"CHBA",23
"PEER",24
"DIME",37
"DIME",36
"NEAL",170
"DIME",33
"NEAL",203
"CHBA",38
"REFU",10
"NEAL",192
"NEAL",81
"DIME",51
"NEAL",170
"CHBA",24
"CHBA",31
"NEAL",203
"REFU",12
"CHBA",39
"REFU",14
"DIME",43
"REFU",12
"REFU",11
"ONTO",26
"NEAL",95
"ONTO",23
"DIME",30
"CHPE",19
"REFU",11
"PEER",20
"DIME",34
"CHPE",21
"CHPE",17
"NEAL",140
"ONTO",26
"NEAL",110
"REME",10
"CHBA",32
"PEFV",13
"NEAL",70
"NEAL",65
"CHPE",20
"NEAL",90
"DIME",41
"CHPE",20
"REFU",12
"DIME",38
"DIME",44
"DIME",36
"CHPE",20
"DIME",34
"NEAL",220
"CHBA",44
"NEAL",100
"ONTO",27
"NEAL",195
"NEAL",160
"ONTO",29
"NEAL",125
"CHBA",24
"CHBA",37
"DIME",42
"DIME",46
"SIAR",141
"NEAL",198
"REFU",13
"NEAL",190
"CHBA",30
"DIME",35
"PEER",24
